level;item_number;item_name;quantity;reference_designator
0;KRA 110058;PS-TK70C-10P0-M3 Touch Kit;;
1;ME0000205445;PET IX86 LS S;2;
1;ME0000222027;Sealing 86 SS;2;
1;ME0000205441;PET IX86 SS;2;
1;ME0000222026;Sealing 86 LS;2;
1;ME0000222127;ED PCBA SS;6;
1;ME0000205430;PET IX86 LS L;2;
1;ME0000180064;FFC Corner;3;
1;ME0000176500;FFC ED-ED;12;
1;ME0000222176;ED PCBA LS;10;
1;ME0000184667;FFC TC-ED;2;
1;KRA 110057-1;PS-TK70C-10P0-M3 Touch Controller Board;1;
2;ME0000227228;TC Board Complete KRH_110086;1;
3;ME0000185383;Label;1;
3;ME0000227226;TC PCBA KRH_110086;1;
